"m1","m2","m3","m4","m5","cl"
"7760",69.439,1.0688,0.77233,81,0.65464,2
"7761",50.483,1.3046,0.87817,82,0.63924,2
"7762",55.822,0.77772,0.57324,85,0.68354,2
"7763",58.933,1.4373,0.64847,81,0.63324,2
"7764",63.9,1.9044,0.7461,78,0.65222,2
"7765",62.358,0.79218,0.57413,76,0.66073,2
"7766",51.039,0.6913,0.51518,84,0.65516,2
"7767",68.339,1.0792,0.69109,83,0.61729,2
"7768",68.152,1.1357,0.43636,86,0.60975,2
"7769",64.945,2.1675,0.89646,82,0.6348,2
"7770",66.306,0.94152,0.41518,86,0.65642,2
"7771",60.439,0.88879,0.7959,82,0.66457,2
"7772",51.161,0.87839,0.82157,80,0.66066,2
"7773",50.006,0.90412,0.52367,86,0.63665,2
"7774",67.506,0.82366,0.72648,82,0.70023,2
"7775",64.121,0.99584,0.7368,83,0.65364,2
"7776",52.085,0.51422,0.60596,81,0.65487,2
"7777",84.676,1.3368,0.83139,82,0.62163,2
"7778",76.422,1.5594,0.86894,81,0.63778,2
"7779",79.429,0.99315,0.46313,78,0.65746,2
"7780",48.178,1.2469,0.48913,85,0.61819,2
"7781",64.345,1.4824,0.52695,88,0.62359,2
"7782",63.669,0.89137,0.76173,81,0.65237,2
"7783",59.805,0.92846,0.73632,87,0.69168,2
"7784",64.001,1.0953,0.66829,86,0.65041,2
"7785",58.198,0.77115,0.54888,85,0.69828,2
"7786",42.152,1.0137,0.63029,78,0.65373,2
"7787",71.696,0.94587,0.51246,78,0.64566,2
"7788",69.822,1.049,0.64141,89,0.64034,2
"7789",53.043,1.0856,0.93701,81,0.64565,2
"7790",67.374,1.5077,0.39827,77,0.64334,2
"7791",58.391,0.90292,0.56573,86,0.66007,2
"7792",60.481,0.87423,0.54901,85,0.64857,2
"7793",71.309,1.5569,0.8637,86,0.64663,2
"7794",53.689,1.2343,0.83224,81,0.64473,2
"7795",71.809,1.0343,0.81654,83,0.66138,2
"7796",48.023,0.83112,0.95316,84,0.66257,2
"7797",52.889,1.3215,0.61592,86,0.60836,2
"7798",53.96,0.79213,0.91569,81,0.66638,2
"7799",58.459,0.7061,0.68916,84,0.61004,2
"7800",57.771,1.8249,0.85024,85,0.64671,2
"9801",37.766,1.4254,0.97762,83,0.42848,7
"9802",51.015,1.4629,0.94874,46,0.49993,7
"9803",66.936,0.55981,0.76365,151,0.51251,7
"9804",68.712,0.46628,0.92372,115,0.40253,7
"9805",29.381,0.49039,0.99459,30,0.4743,7
"9806",39.439,0.8761,0.94458,145,0.50806,7
"9807",42.122,0.53968,0.98122,157,0.57668,7
"9808",48.386,0.4935,0.95574,168,0.46981,7
"9809",56.118,0.78595,0.99298,157,0.53098,7
"9810",48.755,0.90724,0.98542,98,0.53434,7
"9811",40.789,1.1095,0.80709,173,0.5263,7
"9812",56.001,1.4126,0.9255,74,0.50829,7
"9813",47.779,0.39561,0.74117,199,0.46119,7
"9814",53.747,1.1352,0.94378,132,0.55074,7
"9815",44.292,0.487,0.99057,63,0.5075,7
"9816",32.031,0.57954,0.91953,93,0.51604,7
"9817",56.727,0.82361,0.98751,90,0.59924,7
"9818",44.561,0.54,0.98663,184,0.54375,7
"9819",38.809,0.45351,0.97352,204,0.58217,7
"9820",35.866,0.59193,0.84091,50,0.53608,7
"9821",50.461,0.75165,0.96872,153,0.48478,7
"9822",59.507,0.80991,0.95373,175,0.47621,7
"9823",40.798,1.1116,0.96519,149,0.48999,7
"9824",50.598,0.65583,0.97611,114,0.45891,7
"9825",46.069,0.97335,0.93876,83,0.41546,7
"9826",49.792,0.57992,0.78056,133,0.52537,7
"9827",35.903,0.65572,0.92472,132,0.54341,7
"9828",61.101,1.2558,0.96672,82,0.45937,7
"9829",56.983,0.53032,0.90525,120,0.54606,7
"9830",40.859,0.78844,0.94313,23,0.59593,7
"9831",41.022,0.4957,0.96564,86,0.50875,7
"9832",52.67,0.4054,0.98115,77,0.50176,7
"9833",41.597,0.66689,0.9441,92,0.5835,7
"9834",30.708,0.99827,0.99837,74,0.50065,7
"9835",56.901,0.61398,0.9994,103,0.46104,7
"9836",37.194,0.49195,0.96255,79,0.5383,7
"9837",48.284,0.56715,0.84982,133,0.46975,7
"9838",50.912,0.28557,0.92064,78,0.50719,7
"9839",54.794,0.57449,0.87686,184,0.52055,7
"9840",39.844,0.63427,0.98337,183,0.5296,7
"9841",42.436,0.69742,0.89521,161,0.46229,7
"9842",48.219,0.82804,0.8433,114,0.50859,7
"9843",52.366,1.0477,0.89251,163,0.50148,7
"9844",36.688,0.81283,0.99157,154,0.48046,7
"9845",63.013,1.0535,0.91589,124,0.45972,7
"9846",29.031,0.99975,0.95129,134,0.54073,7
"9847",50.883,0.68287,0.88886,140,0.50617,7
"9848",40.98,0.81653,0.86664,115,0.53787,7
"9849",44.16,0.75611,0.85505,102,0.50503,7
"9850",29.584,0.48888,0.91484,109,0.48988,7
"9851",38.987,1.3069,0.87512,106,0.49241,7
"9852",62.58,0.49157,0.90392,90,0.50297,7
"9853",53.283,0.44794,0.91926,132,0.46638,7
"9854",32.83,0.27395,0.95874,96,0.5175,7
"9855",38.25,0.96092,0.98619,159,0.55749,7
"9856",37.359,0.68057,0.91789,200,0.50185,7
"9857",35.604,0.68308,0.91035,81,0.49412,7
"9858",26.401,0.51336,0.93933,142,0.44547,7
"9859",38.001,0.57153,0.74243,146,0.51842,7
"9860",38.21,0.55375,0.56255,7,0.70744,7
"9861",52.923,0.64706,0.97994,108,0.55579,7
"9862",37.474,0.65082,0.98306,82,0.48285,7
"9863",48.895,0.78655,0.99625,107,0.54217,7
"9864",37.437,0.67154,0.8714,186,0.50501,7
"9865",50.053,0.79926,0.78787,71,0.48852,7
"9866",60.096,1.8247,0.96628,100,0.45704,7
"9867",41.257,0.49263,0.66485,171,0.54333,7
"9868",40.356,0.87425,0.95016,171,0.58894,7
"9869",37.02,0.79467,0.95251,160,0.47489,7
"9870",52.27,0.94365,0.86727,151,0.51967,7
"9871",44.086,0.8992,0.98433,183,0.52432,7
"9872",56.527,1.2759,0.98164,143,0.44444,7
"9873",38.651,0.51577,0.96704,150,0.48284,7
"9874",46.269,0.67152,0.97178,114,0.4711,7
"9875",49.952,0.81818,0.93889,109,0.60098,7
"9876",43.794,0.92925,0.96649,101,0.55008,7
"9877",42.728,0.79349,0.88348,67,0.54168,7
"9878",55.469,0.52866,0.88048,91,0.53743,7
"9879",45.268,1.0717,0.93497,54,0.61816,7
"9880",41.683,0.84649,0.73432,95,0.48663,7
"9881",58.457,1.1819,0.92281,78,0.40749,7
"9882",41.22,0.74483,0.9405,45,0.50622,7
"9883",49.262,0.80258,0.98262,173,0.45819,7
"9884",41.981,0.51663,0.88165,136,0.55494,7
"9885",44.273,1.3128,0.86379,158,0.38015,7
"9886",49.425,1.2707,0.78792,171,0.53393,7
"9887",51.683,0.98913,0.98453,52,0.47994,7
"9888",49.019,1.125,0.97871,85,0.56606,7
"9889",49.946,1.4992,0.86092,140,0.58887,7
"9890",35.651,0.82864,0.91077,125,0.5651,7
"9891",50.201,0.35313,0.9989,104,0.51396,7
"9892",40.207,0.36216,0.96157,136,0.48798,7
"9893",57.844,0.6977,0.95189,161,0.55488,7
"9894",40.441,0.502,0.93611,80,0.50795,7
"9895",43.033,1.749,0.8921,121,0.55262,7
"9896",51.562,1.0064,0.88242,108,0.56011,7
"9897",36.197,0.37455,0.96398,92,0.53439,7
"9898",50.56,0.61398,0.81906,136,0.54786,7
"9899",55.62,1.9184,0.84002,88,0.49392,7
"9900",47.807,0.56462,0.97905,86,0.53085,7
"11901",72.147,0.35559,0.30969,80,0.70533,1
"11902",88.471,0.37561,0.56606,84,0.68082,1
